ticker,company_name,theme,sub_theme,benefit_logic,confidence_level,notes
8358.TW,金居 Co-Tech Development,pcb_substrate,銅箔,銅箔基板原料,medium,Phase C 新增
3450.TWO,聯鈞 Browave,optical_communication,光元件,光被動元件,medium,Phase C 新增
2382.TW,廣達 Quanta,ai_server_assembly,AI server ODM,AI server ODM 龍頭,high,Phase C 新增
3324.TWO,雙鴻 Asia Vital Components,thermal,AI server 散熱,液冷 / cold plate,high,Phase C 新增
3081.TWO,聯亞 LandMark Optoelectronics,optical_communication,光通訊外延片,雷射 / 光學元件,medium,Phase C 新增
6442.TW,光聖 Luxnet Corp,optical_communication,光收發,主動光纜 / 矽光子,medium,Phase C 新增
3231.TW,緯創 Wistron,ai_server_assembly,AI server ODM,AI server ODM / rack,high,Phase C 新增
6213.TW,聯茂 ITEQ,pcb_substrate,銅箔基板,高速 CCL,high,Phase C 新增 / LEO overlap
5347.TWO,世界先進 Vanguard,indirect,成熟製程,TSMC 子公司 / 成熟節點,medium,SURVIVORSHIP-TEST-2
4967.TW,十銓 Team Group,memory_hbm,memory module,DRAM/SSD module,low,Phase C 新增
2404.TW,漢唐 United Integrated Services,facility_cleanroom,廠務統包,廠務統包與機電整合,high,2nm/CoWoS 擴建
1519.TW,華城 Hua Eng Wire,power_grid_energy,grid equipment,變壓器 / 電網設備,high,Phase C 新增
6187.TWO,萬潤 Wan Run,semi_equipment,封裝設備,封裝測試與設備,medium,CoWoS / 先進封裝
6488.TWO,環球晶 GlobalWafers,gases_chemicals,矽晶圓,矽晶圓供應商,high,SURVIVORSHIP-TEST-2
8996.TW,高力 KAORI,thermal,熱交換器,液冷 CDU / 熱交換,high,Phase C 新增
6139.TW,亞翔工程 Acter,facility_cleanroom,無塵室,無塵室統包,high,新廠案 ramp 期
3363.TWO,上詮 LuxNet,optical_communication,光收發,光通訊收發模組,medium,Phase C 新增
2451.TW,創見 Transcend,memory_hbm,memory module,DRAM/SSD module,medium,Phase C 新增
4977.TW,眾達-KY Applied Optoelectronics,optical_communication,光收發,800G AOC / 矽光子,high,Phase C 新增
3131.TWO,弘塑 Grand Process Technology,semi_equipment,濕製程設備,先進製程濕式蝕刻設備,medium,2nm 拉貨節奏
2357.TW,華碩 ASUS,ai_server_assembly,AI server,AI server brand,medium,Phase C 新增
3491.TWO,昇達科 Microelectronics Technology,leo_satellite,微波元件,微波 / LEO 元件,medium,Phase C 新增
2376.TW,技嘉 GIGABYTE,ai_server_assembly,AI server,AI server / GPU server brand,high,Phase C 新增
2492.TW,華新科 Walsin Technology,passive_components,MLCC,MLCC / 鋁電解電容,medium,Phase C 新增
5536.TW,聖暉 Acter Group,facility_cleanroom,廠務統包,系統整合 + 機電工程,medium,海外建廠 driver
6271.TW,同欣電 Tong Hsing,inspection,影像感測封裝,影像感測 + 模組封裝,low,SURVIVORSHIP-TEST
6282.TW,康舒 ACBEL Polytech,power_grid_energy,電源,server power supply,medium,Phase C 新增
3583.TW,辛耘 Sun Tech,semi_equipment,設備+零件,半導體設備本體與耗材,medium,設備代理 + 自產
2356.TW,英業達 Inventec,ai_server_assembly,AI server ODM,AI server ODM,medium,Phase C 新增
1513.TW,中興電 Chung-Hsin Electric,power_grid_energy,grid equipment,變電 / GIS,high,Phase C 新增
1504.TW,東元 TECO,power_grid_energy,馬達,大型馬達 / 電力設備,medium,Phase C 新增
3680.TW,家登 Gudeng Precision,semi_equipment,EUV pod,EUV 光罩盒、晶圓盒,high,EUV 上量直接 driver
2377.TW,微星 MSI,ai_server_assembly,AI server,AI server / GPU server brand,medium,Phase C 新增
3587.TW,閎康 Materials Analysis Technology,inspection,材料分析,材料分析與失效檢測,medium,先進製程量產後檢測
6196.TW,帆宣 Marketech International,facility_cleanroom,廠務+設備整合,廠務工程 + 設備代理,high,跨 build 與 tooling
2421.TW,建準 Sunon,thermal,風扇,散熱風扇 / 馬達,medium,Phase C 新增
2351.TW,順德 SDI,gases_chemicals,導線架,IC 封裝原料,low,SURVIVORSHIP-TEST
2436.TW,偉詮電 Weltrend,semi_equipment,IC 設計,IC 設計周邊,low,SURVIVORSHIP-TEST-2
1514.TW,亞力 Allis Electric,power_grid_energy,grid equipment,配電盤 / 電網設備,medium,Phase C 新增
3413.TW,京鼎 KE Holdings,semi_equipment,半導體設備,設備本體,medium,SURVIVORSHIP-TEST-2
