rank,date,ticker,company_name,theme,alpha_score,confidence_score,decision_zone,suggested_action,residual_alpha_score,revenue_confirmation_score,sector_relative_score,institutional_flow_score,narrative_score,capex_context_score,risk_penalty,risk_severity,main_positive_drivers,main_negative_drivers,risk_flags,data_quality,notes
29,2026-04-30,3413.TW,京鼎 KE Holdings,semi_equipment,-1.258,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.628,-0.0,-0.0,0.0,0.0,0.0,0.63,0,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d,,2.5,
30,2026-04-30,5347.TWO,世界先進 Vanguard,indirect,-1.334,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.159,-0.0,-0.0,-0.0,0.0,0.0,0.175,0,2 positive headlines / 30d; tags: memory;passive_components;n3; multi-source (10 domains),,,2.5,
31,2026-04-30,3105.TWO,穩懋 WIN Semi,semi_equipment,-1.338,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.367,-0.0,0.0,0.0,0.0,0.0,1.705,6,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50; residual alpha +0.37,1 negative headlines / 30d; valuation penalty -0.09,overbought(high); valuation_extreme(high),2.5,
32,2026-04-30,6488.TWO,環球晶 GlobalWafers,gases_chemicals,-1.339,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.129,-0.0,-0.0,0.0,0.0,0.0,0.211,0,,,,2.5,
33,2026-04-30,2327.TW,國巨 Yageo,passive_components,-1.361,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.073,-0.0,0.0,0.0,0.0,0.0,0.288,0,,,,2.5,
34,2026-04-30,2404.TW,漢唐 United Integrated Services,facility_cleanroom,-1.37,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.705,-0.0,-0.0,-0.0,0.0,0.0,0.665,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50,1 negative headlines / 30d,valuation_extreme(medium),2.5,
35,2026-04-30,2308.TW,台達電 Delta Electronics,power_grid_energy,-1.402,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.709,-0.0,0.0,0.0,0.0,0.0,2.111,8,residual alpha +0.71,valuation penalty -0.08,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
36,2026-04-30,2421.TW,建準 Sunon,thermal,-1.41,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.984,-0.0,-0.0,-0.0,0.0,0.0,0.426,0,,,,2.5,
37,2026-04-30,2377.TW,微星 MSI,ai_server_assembly,-1.425,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.078,-0.0,-0.0,-0.0,0.0,0.0,1.347,3,,,revenue_not_confirmed(high),2.5,
38,2026-04-30,6139.TW,亞翔工程 Acter,facility_cleanroom,-1.462,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.808,-0.0,0.0,0.0,0.0,0.0,0.654,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50,1 negative headlines / 30d,valuation_extreme(medium),2.5,
39,2026-04-30,2451.TW,創見 Transcend,memory_hbm,-1.519,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.182,0.0,-0.0,-0.0,0.0,0.0,0.337,0,,,,2.5,
40,2026-04-30,3324.TWO,雙鴻 Asia Vital Components,thermal,-1.597,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.67,-0.0,-0.0,-0.0,0.0,0.0,0.927,4,,valuation penalty -0.01,valuation_extreme(medium); valuation_extreme(medium),2.5,
41,2026-04-30,1504.TW,東元 TECO,power_grid_energy,-1.737,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.692,-0.0,-0.0,-0.0,0.0,0.0,1.045,3,,,excessive_drawdown(high),2.5,
42,2026-04-30,5536.TW,聖暉 Acter Group,facility_cleanroom,-1.764,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.212,0.0,-0.0,0.0,0.0,0.0,0.552,2,tags: n2_a16;twonm;overseas_fab; multi-source (46 domains); CAPEX context +0.50,1 negative headlines / 30d,valuation_extreme(medium),2.5,
43,2026-04-30,3260.TWO,威剛 ADATA,memory_hbm,-1.9,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.904,0.0,0.0,-0.0,0.0,0.0,0.997,3,,,overbought(high),2.5,
44,2026-04-30,2492.TW,華新科 Walsin Technology,passive_components,-2.316,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.91,-0.0,-0.0,0.0,0.0,0.0,0.406,0,,,,2.5,
45,2026-04-30,1519.TW,華城 Hua Eng Wire,power_grid_energy,-2.513,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.121,-0.0,-0.0,-0.0,0.0,0.0,1.392,5,,valuation penalty -0.07,valuation_extreme(high); valuation_extreme(medium),2.5,
46,2026-04-30,2313.TW,華通 Compeq Manufacturing,pcb_substrate,-2.569,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.44,-0.0,-0.0,-0.0,0.0,0.0,1.129,5,,,overbought(high); valuation_extreme(medium),2.5,
47,2026-04-30,3680.TW,家登 Gudeng Precision,semi_equipment,-2.607,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.769,-0.0,0.0,-0.0,0.0,0.0,1.838,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d; valuation penalty -0.01,price_up_revenue_down(high); revenue_not_confirmed(high); valuation_extreme(medium),2.5,
48,2026-04-30,3131.TWO,弘塑 Grand Process Technology,semi_equipment,-2.666,3.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.624,-0.0,-0.0,0.0,0.0,0.0,2.042,8,tags: n2_a16;twonm;cowos; multi-source (28 domains); CAPEX context +0.50,1 negative headlines / 30d; valuation penalty -0.06,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
49,2026-04-30,8299.TWO,群聯 Phison,memory_hbm,-2.713,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-2.245,0.0,0.0,-0.0,0.0,0.0,0.468,2,,valuation penalty -0.00,valuation_extreme(medium),2.5,
50,2026-04-30,8358.TW,金居 Co-Tech Development,pcb_substrate,-2.792,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.667,0.0,-0.0,0.0,0.0,0.0,2.124,8,,valuation penalty -0.09,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
51,2026-04-30,4977.TW,眾達-KY Applied Optoelectronics,optical_communication,-2.81,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.276,-0.0,-0.0,-0.0,0.0,0.0,2.535,11,,,overbought(high); price_up_revenue_down(high); revenue_not_confirmed(high); valuation_extreme(medium),2.5,
52,2026-04-30,6442.TW,光聖 Luxnet Corp,optical_communication,-3.023,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-0.829,-0.0,-0.0,-0.0,0.0,0.0,2.193,8,,valuation penalty -0.10,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
53,2026-04-30,3450.TWO,聯鈞 Browave,optical_communication,-3.233,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.289,-0.0,-0.0,0.0,0.0,0.0,1.945,8,,valuation penalty -0.04,revenue_not_confirmed(high); valuation_extreme(high); valuation_extreme(medium),2.5,
54,2026-04-30,8996.TW,高力 KAORI,thermal,-3.401,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.064,0.0,0.0,0.0,0.0,0.0,2.338,8,,valuation penalty -0.14,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
55,2026-04-30,6282.TW,康舒 ACBEL Polytech,power_grid_energy,-3.495,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.911,-0.0,-0.0,-0.0,0.0,0.0,1.583,6,,valuation penalty -0.06,excessive_drawdown(high); valuation_extreme(high),2.5,
56,2026-04-30,3363.TWO,上詮 LuxNet,optical_communication,-3.559,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,0.267,-0.0,-0.0,-0.0,0.0,0.0,3.825,14,residual alpha +0.27,valuation penalty -0.18,overbought(high); price_up_revenue_down(high); revenue_not_confirmed(high); valuation_extreme(high); valuation_extreme(medium),2.5,
57,2026-04-30,3491.TWO,昇達科 Microelectronics Technology,leo_satellite,-3.629,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-1.239,0.0,-0.0,-0.0,0.0,0.0,2.391,8,,valuation penalty -0.16,overbought(high); valuation_extreme(high); valuation_extreme(medium),2.5,
58,2026-04-30,2408.TW,南亞科 Nanya Tech,memory_hbm,-4.19,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-2.64,0.0,-0.0,-0.0,0.0,0.0,1.55,6,,valuation penalty -0.05,excessive_drawdown(high); valuation_extreme(high),2.5,
59,2026-04-30,2344.TW,華邦電 Winbond,memory_hbm,-4.22,2.5,Avoid,Skip — negative residual alpha. Wait for setup change.,-2.667,0.0,-0.0,-0.0,0.0,0.0,1.552,6,,valuation penalty -0.05,excessive_drawdown(high); valuation_extreme(high),2.5,
